si_no,name_of_the_museum,location,adult_ticket_price,child_ticket_price,foreigner,free_entry,timing,closed,smart_phone,camera,official_museum_website_link
23,Victoria Memorial Hall, KOLKATA,50  garden only : Rs.30,50 garden only : Rs.30,"100  (Nationals of SAARC countries Afghanistan, Bangladesh, Bhutan, Maldives, Nepal, Pakistan and Sri Lanka on production of Passport) ","School students up to Class XII in uniform and with School ID
Differently-abled visitors with U.D.I.D Card;
Army personnel and their accompanying spouses and children on the production of ID Cards for each. Members of the Para-Military forces, WB Police and Kolkata Police along with their immediate families and also pensioners of the aforesaid services.",museum galleries: 1000 AM - 600 PM gardens : 530 AM - 600 PM,"Mondays Republic Day, Holi (Dol Yatra), ldu’l Fitr*, Independence Day, Mahatma Gandhi’s Birthday, Dussehra (Vijay Dashami), Christmas Day.  Gardens are open on all days.",Not Available,Not Available,https://victoriamemorial-cal.org/
24,Bapu Museum,vijayawada,5,3,Not Available,Not Available,saturday - sunday 10:30 AM - 5:00 PM,Fridays  ,Not Available,Not Available,https://www.museumsofindia.org/museum/10009/bapu-museum
25,Puducherry Museum,Puducherry,10,5,50,Not Available,tuesday to sunday 9:00 AM – 6:30 PM,Mondays and National Holidays,Not Available,Not Available,https://art.py.gov.in/puducherry-museum
26,Visakha Museum,Not Available,10,5 per person for Children ( 5 - 12 years),Not Available,Not Available,monday-thursday 11:00 AM – 7:00 PM sturday and sunday 12:00 PM - 8:00 PM,Friday,Not Available,Not Available,"Visakha Museum Vizag (Entry Fee, Timings, History, Images, Location & Entry ticket cost price) - Vizag Tourism"
27,Dogra Art Museum,Jammu,,,,,,,,,
,10/-,5/-,,,,,,,,,
,50/- ,Not Available,10:00 AM to 5:00 PM (6-days week tuesday to sunday),monday,Not Available,Not Available,"Directorate of Archives , Archaeology & Museums",,,,
28,Bihar Museum,Bihar  ,10:00 AM - 5:00 PM                                                1.Indian Adult -₹100                           EVENING TICKETS 5:00 PM - 7:00 PM                                                     2.Indian Adult - ₹50                                                                        ,10:00 AM - 5:00 PM        1.Indian Children-₹50                                               EVENING TICKETS 5:00 PM - 7:00 PM                    Indian Children -₹25                 ,10:00 AM - 5:00 PM        1.International Adult-₹500                                              EVENING TICKETS 5:00 PM - 7:00 PM                    International Adult -₹500                 REGULAR VISIT 10:00 AM - 5:00 PM        1.International Children-₹250                                               EVENING TICKETS 5:00 PM - 7:00 PM                    International Children -₹250                 ,School Group Tour-₹25(per student),regular visit 10:00 AM - 5:00 PM evening tickets 5:00 PM - 7:00 PM,"Closed on Mondays
 
Holiday Closures: Selected religious and national holidays",Not Available,Not Available,Bihar Museum - Visit
29,Patna Museum,Patna,15/-,5/-,250/-,Not Available,saturday - sunday : 1030 AM - 430 PM,Monday and public holidays,Rs 20,"Flash Camera: Rs 100
Videography: Rs 500",https://search.app?link=https%3A%2F%2Fwww.museumsofindia.org%2Fmuseum%2F12154%2Fpatna-museum&utm_campaign=aga&utm_source=agsadl1%2Cagsadl8%2Csh%2Fx%2Fgs%2Fm2%2F4
30,Government Museum and Art Gallery,Chandigarh,30,Not Available,Not Available,Children Below 18 years/School Groups,tuesday to sunday 10:00 AM to 05:00 PM,Not Available,Not Available, Rs. 30,https://chandigarhtourism.gov.in/pages/museums/government_museum_art_gallery
31,Goa Museum ,"Panaji, Goa",Not Available,Not Available,Not Available,Not Available,monday - friday 945 AM to 115 PM 200 PM to 530 PM,Not Available,Not Available,Not Available,https://goamuseum.gov.in/about-us/
32,Goa Science Centre & Planetarium,"Panaji, Goa",Not Available,Not Available,Not Available,Not Available,930 AM to 600 PM, Holi and Diwali,Not Available,Not Available,https://gscgoa.org/
33,SPS Museum, Srinagar ,10/-,5/-,,,,,,,
,50/-,Not Available,10:00 AM to 5:00 PM (6-days week tuesday to sunday),Monday,Not Available,Not Available,https://jkarchives.nic.in/Museum_Srinagar.htm,,,,
34,Kutch Museum,Bhuj,5,2 For per student of Schools/Colleges,50/-,Not Available,10-00 to 17-00,2nd & 4th Saturday & all Wednesdays and Government holidays,100 For photography.,500 For video camera.,https://archaeologymuseum.gujarat.gov.in/Museum/kutch.htm
35,Science Centre,Surat,100/-  Science Centre + Museum  + Diamond Gallery,65/- Science Centre + Museum  + Diamond Gallery,,,,,,,
,Not Available,Not Available,monday-sunday 9:30 AM – 4:30 PM,Not Available,Not Available,Not Available,https://www.suratmunicipal.gov.in/FAQs/ScienceCenter,,,,
36,Heritage Transport Museum,Gurgoan,400/-             ,12:00,Not Available,"Disabled visitors and 1 companion
Children under 3 years","open from tuesday to sunday, 10 AM to 7 PM",Mondays,Not Available,Not Available,http://www.heritagetransportmuseum.org/visit/37/opening-timings-tickets.html
37,odisha state museum,odisha,20,10 YEARS VISITORS               :Rs.10.00 ,20,Not Available,tuesday to sunday1000 AM to 530 PM,"2nd Saturday, 4th Saturday and Mondays, Public Holidays ",Not Available,"DIGITAL CAMERA      :Rs.10.00  Per Camera
DIGITAL CAMERA (FOREIGNER)   :Rs.100.00 Per Camera
VIDEO CAMERA     :Rs.200.00 Per Camera       VIDEO CAMERA (FOREIGNER)      :Rs.2000.00 Per Camera
COMMERCIAL PHOTOGRAPHY      :Rs.100.00  Per Camera
COMMERCIAL PHOTOGRAPHY      :Rs.1000.00  Per Camera (FOREIGNER)",https://odishamuseum.nic.in/?q=node/2086
38,Partition Museum,Amritsar,10/-,Not Available,250/-,Children (5 and below)  Partition Survivors,10:00 AM to 6:00 PM,"Mondays, 26 January, 15 August and 2 October",Not Available,Not Available,https://www.partitionmuseum.org/
39,Delhi Musuem,Delhi,free,Not Available,Not Available,Not Available,tues to sun 10:00 AM to 5:00 PM,"Mondays, 26 January, 15 August and 2 October",Not Available,Not Available,https://www.partitionmuseum.org/visit-the-museum-2
40,Sardar Government Museum,Jodhpur,20,Not Available,100,Not Available,10:00 AM – 5:00 PM,Friday,Not Available,Not Available,https://jodhpurtourism.in/sardar-government-museum-jodhpur
41,vivekananda house, Chennai,3D (9/11 – The Awakening) + 4D VR (Tears of Vivekananda)    Adults: ₹50    Arise Awake + 3D (9/11 – The Awakening) only  Adults: ₹40,10      Arise Awake + 3D (9/11 – The Awakening) + 4D VR (Tears of Vivekananda)      Children (3-12 years): ₹40   Arise Awake + 3D (9/11 – The Awakening) only     Children (3-12 years): ₹30,Not Available,Not Available,1000 AM – 12:30 PM 300 PM –7:15 PM on sundays extended upto 7:30 PM,Mondays,Not Available,Not Available,https://vivekanandahouse.org/
42,G P Birla Archaeological Astronomical and Scientific Research Institute (GPBAASRI),hyderabad,Not Available,Not Available,Not Available,Not Available,10:30 AM to 8:00 PM,Not Available,Not Available,Not Available,https://gpbaasri.org/
43,Alampur Site Museum,Telangana,10,5,Not Available,Not Available,10:30 AM to 05:00 PM,Not Available,Not Available,Not Available,https://shop.museumsofindia.org/node/756
44,Rabindra Bharati Museum, Kolkata ,3 years)  50.00,20.00  BLOCK BOOKING AVAILABLE ONLY FOR INDIAN STUDENTS (Except Teachers and Staff),500," physically challenged visitors, street children and students up to 5th standard.",10:30 AM to 5:30 PM (summer) and 10 AM to 5 PM (winter), Monday and government holidays,Not Available,"Still Photography Coupon  
(India & SAARC)     50.00      
(other than SAARC)  100.00",https://rbu.ac.in/home/quick/02e74f10e0327ad868d138f2b4fdd6f0
45,Asutosh Museum of Indian Art,Kolkata,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Rs 200 ,https://shop.museumsofindia.org/node/233
46,Calico Museum of Textiles,"Ahmedabad,Gujarat",free,"10 are not admitted on the museum tour. Children between 10 and 15 are permitted to visit the museum if accompanied by a parent, guardian or tutor. FREE ENTRY",Not Available,Not Available,morning tour: 10:30 AM to 12:30 PM and afternoon tour: 2:30 PM to 4:30 PM from tuesday to sundaygarden tour: 3:30 PM to 5:00 PM on every thursday,Monday and public holidays,Not Available,We do not allow any photos or videos to be taken in the premises.,https://www.calicomuseum.org/the-story-of-the-calico-museum/
47,Gandhi Smarak Sangrahalaya,"Ahmedabad,Gujarat",10/- (Above 10 Years) for Indian,10/- (Above 10 Years) for Indian Special Discount for Group Visit of Students - Rs. 5/- per student in group (minimum 25 students in group),50/- for Foreigner,Not Available,the museum remains open: on all days except wednesday timing - 1100 AM to 5 PM,Wednesday,Not Available,Not Available,https://www.gandhimuseum.in/
48,"Directorate of Archaeology, Archives and Museums",Madhya Ppradesh,20.00 per person (children upto 15 years are free),20.00 per person (children upto 15 years are free),400.00 per person,Not Available,museum opening and closing time: 10:00 AM to 5:00 PM,The museum will remain closed every Monday and on government holidays.,Not Available,Photography and Videography without stand – Rs 250 per camera.Photography and videography with stand – Rs 400 per camera,https://www.archaeology.mp.gov.in/contents.aspx?page=district-archaeological-museum-vidisha&number=iuXwEnEp1CogMIkhmEav3Q==
50,Telangana State Archaeology Museum,Hyderabad,10/-,5/-,Not Available,Not Available,10:30 AM - 4:30 PM,"Friday: Closed,
The Museum remains closed on public holidays.",Photography fee: Rs. 20/-,Video Camera fee: Rs. 100/-,https://www.museumsofindia.org/museum/11952/telangana-state-archaeology-museum
51,"Archaeological Museum, Vijayapura",Bijapur,5,5,Not Available,free for Children up to 15 years,900 AM to 500 PM,Closed on – Friday,Not Available,Not Available,http://www.asidharwadcircle.in/vijayapura-museum/
52,"Government Museum, Bangalore",Bangalore,20,10,Not Available,Not Available,1000 AM - 500 PM,"Monday	Closed / Holiday",Not Available,Not Available,https://bangaloretourism.in/government-museum-bangalore
53,"
National Gallery of Modern Art",New Delhi,20,free,500,children/student - FREE,tuesday to sunday 10:00 AM to 6:00 PM,Closed on Mondays and National Holidays ,Not Available,Not Available,https://sites.google.com/view/ngmaindia/home/plan-your-visit
54,"National Gallery of Modern Art,", Bangalore,Not Available,Not Available,Not Available,Not Available,tuesday to sunday 10:00 AM to 6:00 PM,Closed on Mondays and National Holidays ,Not Available,Not Available,https://ngmaindia.gov.in/ngma_bangaluru.asp
55,Visvesvaraya Industrial and Technological Museum,Bangalore,95/-,95/-,,,,,,,
,95/-,,,,,,,,,,
,Not Available,monday to sunday : 930 AM to 6 PM,Open on all days of the year.(Except Ganesha Chathurthi and Deepavali),Not Available,Not Available,https://www.vismuseum.gov.in/about-us/,,,,,
56,Chennai Railway Museum,chennai,50 per head (inclusive of Toy Train Ride),12 years) - INR 25 per head (inclusive of Toy Train Ride),Not Available,Not Available,10 AM to 4 PM,"Closed on Mondays and National Holidays.Friday, Government Holidays",Video camera - not allowed. Still camera can be used without flash.,Video camera - not allowed. Still camera can be used without flash.,https://www.tamilnadutourism.com/attractions/arts-museum/regional-rail-museum.php
57,Gandhi Memorial Museum,Madurai,no fees for entry,no fees for entry,Not Available,Not Available,tuesdays to sunday 10:00–17:00,"Mondays: Closed.                               The last admission time is thirty minutes before closing.

The museum is open on all public holidays.",Not Available,Not Available,https://www.gandhimuseum.org/museum/index.php/information/other-museums/gandhi-memorial-museum-madurai
58,Gass Forest Museum,Coimbatore,40 for Adults,20 for Children,200 for Foreigners,Not Available,9 m - 1 PM & 2 PM - 5 PM,"Closed on Saturday, Sunday, & Pubic Holidays",Not Available,Not Available,https://www.trawell.in/tamilnadu/coimbatore/gass-forest-museum
59,Saraswathi Mahal Library,Thanjavur,free,free,Not Available,Not Available,10:00 AM to 1:00 PM and 1:30 PM to 5:30 PM,Not Available,Not Available,Not Available,"https://myholidayhappiness.com/place/tamilnadu/thanjavur/saraswati-mahal-library#:~:text=Entry%20Fee%20%3A%20None&text=The%20famous%20library%20is%20located,also%20present%20at%20this%20place."
60,Government Museum,Karur,5/- ,5/- ,100/-,Not Available,9:30 AM to 5 PM,National and State Holidays,Not Available,Not Available,https://numismaticscollections.blogspot.com/p/government-museum-karur.html
61,Manipur State Museum,Imphal,10,5,50,Not Available,10:30 AM - 4:30 PM,"Mondays, 2nd Saturdays, Govt Holidays",Not Available,Not Available,Not Available
62,"Archaeological Museum,Kangla",Imphal,10 for adults,5 for Children,50 for Foreigners,Not Available,Not Available,Not Available,Not Available,Not Available,"https://shop.museumsofindia.org/node/415#:~:text=The%20Kangla%20Museum%20in%20the,The%20museum%20has%20two%20galleries."
63,Hijagang,Imphal,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
64,Indian National Army War Museum (INA War Museum),Imphal,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
65,Kangla Museum,Imphal,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
66,Srimanta Sankaradeva Kalakhetra,Assam,30/- ,10/-,100/- ,Not Available,1000 AM to 0700 PM all days,No holiday,Not Available,"Still Camera : Rs. 10/-
Video Camera : Rs. 100/-",https://kalakshetra.assam.gov.in/frontimpotentdata/entry-fees
67,KURUSURA SUBMARINE MUSEUM,Vishakapatnam,70/-,40/-     School Child in groups : Rs.20/-,Not Available,Not Available,400 PM to 800 PM on week days 1100 AM to 130 PM on sundays and public holidays,Monday,Not Available,"For Camera : Rs.50/-
For Video camera : Rs.200/-",http://vmrda.gov.in/kursura.aspx
,,,,,,,,,,,
